REPORT_DAT,PSA
10/2/13 4:17,101
9/2/13 20:17,102
9/2/13 19:15,105
9/2/13 17:50,102
9/2/13 14:12,102
9/2/13 12:00,108
9/2/13 12:00,107
9/2/13 2:36,107
9/2/13 0:25,102
8/2/13 21:04,101
8/2/13 18:29,101
8/2/13 17:48,101
7/2/13 23:19,103
7/2/13 21:45,101
7/2/13 21:32,102
7/2/13 20:20,102
7/2/13 19:15,101
7/2/13 19:03,106
7/2/13 18:10,101
7/2/13 17:51,107
7/2/13 17:50,108
6/2/13 21:56,105
6/2/13 20:46,106
6/2/13 20:33,106
6/2/13 16:45,105
6/2/13 16:30,102
6/2/13 16:00,107
6/2/13 14:00,105
6/2/13 12:25,104
6/2/13 11:26,105
6/2/13 10:26,102
6/2/13 10:26,105
5/2/13 22:24,107
5/2/13 19:46,107
5/2/13 19:14,101
5/2/13 18:36,101
5/2/13 18:16,102
5/2/13 16:06,102
5/2/13 15:34,105
5/2/13 14:22,105
5/2/13 12:41,108
5/2/13 9:56,104
5/2/13 9:45,101
5/2/13 8:03,101
4/2/13 19:11,107
4/2/13 14:46,101
4/2/13 11:57,104
4/2/13 8:33,105
3/2/13 15:33,107
3/2/13 11:04,103
2/2/13 19:43,102
2/2/13 19:02,104
2/2/13 15:10,106
2/2/13 14:25,104
2/2/13 10:12,104
1/2/13 23:05,105
1/2/13 16:26,103
1/2/13 16:09,104
1/2/13 16:02,107
1/2/13 15:34,102
1/2/13 13:50,103
1/2/13 12:38,108
31/1/13 22:01,106
31/1/13 21:33,104
31/1/13 20:00,104
31/1/13 15:38,108
31/1/13 14:46,108
31/1/13 10:44,105
31/1/13 10:30,102
31/1/13 8:50,102
31/1/13 1:00,104
30/1/13 22:31,102
30/1/13 18:34,102
30/1/13 18:00,103
30/1/13 16:45,101
30/1/13 16:29,102
30/1/13 16:00,104
30/1/13 14:57,107
30/1/13 14:40,107
30/1/13 11:00,105
29/1/13 20:13,101
29/1/13 19:41,101
29/1/13 17:00,108
29/1/13 16:25,102
29/1/13 10:05,103
28/1/13 19:45,102
28/1/13 15:32,103
28/1/13 12:12,108
28/1/13 10:36,107
28/1/13 9:41,101
28/1/13 7:22,105
27/1/13 18:55,108
27/1/13 18:40,107
27/1/13 18:03,102
27/1/13 17:20,108
27/1/13 16:00,106
27/1/13 15:34,102
27/1/13 9:24,106
27/1/13 7:53,106
